Rank,Rider,Points,Date_of_birth,Nationality,Weight,Height,PCS_points,One_day_races,GC,Time_trial,Sprint,Climber,Hills
126,BAUHAUS Phil,488,27th February 1998 ,Austria,6.0,1.8,557,324,1125,97,2,1888,292
127,JEGAT Jordan,488,22nd November 1993 ,Spain,8.0,1.86,500,292,2456,764,30,2903,1218
128,VERMAERKE Kevin,485,8th July 2002 ,Italy,1.0,1.74,523,179,614,92,0,390,153
129,POLITT Nils,484,19th November 1992 ,Belgium,8.0,1.73,396,1854,268,55,1002,258,789
130,KRIJNSEN Jelte,481,19th October 1994 ,Slovenia,2.0,1.86,637,2952,2331,352,571,1610,2810
131,PARET-PEINTRE Aurélien,480,4th September 1995 ,Belgium,7.0,1.89,471,258,1407,446,33,1006,566
132,WOODS Michael,477,22nd February 1998 ,Colombia,6.0,1.64,480,199,1363,61,6,1460,298
133,MOZZATO Luca,476,16th January 2003 ,Belgium,9.0,1.88,536,246,288,424,56,31,99
134,ZANA Filippo,474,25th May 2000 ,France,4.0,1.76,584,701,96,32,118,134,396
135,BERTHET Clément,474,20th March 1997 ,"NorwayPlace of birth: EgersundPoints per specialty393Onedayraces341GC114TT61Sprint96Climber202HillsinstafbstravaX

UCI World147
PCS Ranking123


Visits:▼18944  this week",,,355,393,341,114,61,96,202
136,VANSEVENANT Mauri,472,28th December 2001 ,France,4.0,1.73,433,685,257,4,767,30,421
137,TEUNISSEN Mike,467,4th November 1994 ,Colombia,2.0,1.8,301,1061,289,0,2014,86,979
138,LAMPERTI Luke,464,8th July 1994 ,Germany,1.0,1.84,502,902,266,1,3020,0,1659
139,THOMAS Geraint,459,7th June 1999 ,France,9.0,1.76,466,327,290,5,3,376,248
140,IZAGIRRE Ion,458,16th October 2000 ,United States,7.0,1.81,622,545,591,11,14,469,524
141,CHRISTEN Fabio,455,6th March 1994 ,Germany,0.0,1.92,651,2211,1020,1244,472,152,1423
142,LAURANCE Axel,452,12th May 2001 ,Netherlands,3.0,1.84,459,158,230,0,212,4,110
143,DELETTRE Alexandre,448,27th February 1996 ,France,4.0,1.84,526,845,1462,167,8,1408,608
144,TEUNS Dylan,445,12th October 1986 ,Canada,2.0,1.75,397,3257,2295,40,34,4492,1785
145,KANTER Max,444,15th February 1998 ,Italy,7.0,1.78,634,1946,141,0,1184,6,771
146,VAN DEN BROEK Frank,443,18th March 1999 ,Italy,5.0,1.85,528,490,1000,67,10,948,432
147,KUBIŠ Lukáš,440,2nd August 1997 ,France,8.0,1.84,335,476,565,17,2,582,294
148,VENTURINI Clément,439,1st June 1999 ,Belgium,0.0,1.75,526,694,809,45,0,948,593
149,PELLIZZARI Giulio,437,25th August 1992 ,Netherlands,3.0,1.84,438,2157,1405,338,1702,192,1352
150,HERMANS Quinten,436,31st December 2002 ,United States,4.0,1.8,486,494,155,80,566,24,394
151,SILVA Guillermo Thomas,434,25th May 1986 ,Great Britain,1.0,1.83,454,1267,6399,5423,306,4203,2692
152,ALEOTTI Giovanni,433,4th February 1989 ,Spain,0.0,1.73,457,2002,5408,3014,172,4535,2283
153,THIJSSEN Gerben,432,29th June 2002 ,"SwitzerlandHeight: 1.84 mPlace of birth: GippingenPoints per specialty416Onedayraces144GC41TT52Sprint96Climber252HillsXinstastravafbwikiCross profile

UCI World158
PCS Ranking141


Visits:▼401  this week",,1.84,370,416,144,41,52,96,252
154,BLACKMORE Joseph,431,13th April 2001 ,France,6.0,1.79,435,423,260,42,122,219,707
155,POELS Wout,430,25th October 1997 ,France,2.0,1.7,473,447,298,10,42,99,352
156,ACKERMANN Pascal,428,1st March 1992 ,Belgium,4.0,1.81,346,2083,2800,575,116,2780,2255
157,MIHKELS Madis,425,22nd October 1997 ,Germany,8.0,1.76,338,807,218,32,1212,124,1087
158,HOELGAARD Markus,420,28th December 2000 ,Netherlands,0.0,1.78,428,51,332,54,26,218,182
159,PLUIMERS Rick,418,31st January 2000 ,Slovakia,0.0,1.75,179,396,203,160,455,47,300
160,STUYVEN Jasper,415,16th October 1993 ,France,0.0,1.65,455,1502,562,93,1340,336,1514
161,BIERMANS Jenthe,415,21st November 2003 ,Italy,6.0,1.83,452,152,300,28,0,472,146
162,VAN POPPEL Danny,413,29th July 1995 ,Belgium,2.0,1.74,384,839,658,89,174,574,1219
163,FOLDAGER Anders,413,30th December 2001 ,Uruguay,4.0,1.75,445,287,140,45,42,56,247
164,BITTNER Pavel,412,25th May 1999 ,Italy,7.0,1.8,449,379,989,73,28,504,410
165,DE KLEIJN Arvid,411,21st June 1998 ,Belgium,4.0,1.74,639,1797,46,21,2150,2,45
166,FAGÚNDEZ Eric Antonio,411,23rd February 2003 ,Great Britain,6.0,1.81,642,167,434,75,20,236,340
167,HAGENES Per Strand,408,1st October 1987 ,Netherlands,6.0,1.86,448,1038,4945,916,302,4868,1743
168,HOFSTETTER Hugo,407,17th January 1994 ,Germany,8.0,1.8,503,3481,355,68,3474,126,1925
169,PITHIE Laurence,405,31st May 2003 ,Estonia,5.0,1.84,369,594,72,72,378,14,320
170,COQUARD Bryan,403,4th October 1994 ,Norway,4.0,1.88,345,661,764,24,138,278,738
171,WATSON Samuel,400,7th December 2000 ,Netherlands,7.0,1.8,260,390,149,82,176,111,343
172,VALTER Attila,393,17th April 1992 ,Belgium,8.0,1.87,549,4635,1314,284,2158,697,3292
173,BURGAUDEAU Mathieu,386,30th October 1995 ,Belgium,8.0,1.84,432,1294,277,56,336,109,564
174,BRENNER Marco,386,26th July 1993 ,Netherlands,2.0,1.84,494,3291,785,435,4600,198,1694
175,DUNBAR Eddie,385,27th July 2001 ,Denmark,9.0,1.81,391,249,203,8,38,91,266
176,AFFINI Edoardo,382,29th October 2002 ,Czech Republic,3.0,1.84,447,313,59,22,314,44,382
177,KUSS Sepp,378,21st March 1994 ,Netherlands,8.0,1.71,609,1227,96,4,2533,0,240
178,MOLLEMA Bauke,377,19th August 1998 ,Uruguay,7.0,1.8,264,344,287,203,38,72,218
179,ROMEO Iván,377,10th July 2003 ,"NorwayHeight: 1.86 mPlace of birth: SandnesPoints per specialty363Onedayraces309GC114TT166Sprint50Climber214HillsinstaXstravawiki

UCI World157
PCS Ranking167


Visits:▼548  this week",,1.86,383,363,309,114,166,50,214
180,WRIGHT Fred,376,13th February 1994 ,France,6.0,1.7,275,3076,175,0,2267,29,907
181,MOSCHETTI Matteo,369,17th July 2002 ,New Zealand,4.0,1.85,723,1029,111,65,528,36,526
182,TEJADA Harold,368,25th April 1992 ,France,9.0,1.71,429,3028,1202,289,5636,208,2527
183,PACHER Quentin,364,24th September 2001 ,Great Britain,8.0,1.86,260,389,226,246,216,46,377
184,BARONCINI Filippo,363,12th June 1998 ,Hungary,5.0,1.85,523,719,1103,287,30,1206,551
185,DÉMARE Arnaud,362,17th November 1998 ,France,1.0,1.68,372,742,508,28,26,572,772
186,BISSEGGER Stefan,362,27th August 2002 ,Germany,9.0,1.81,298,197,354,158,10,336,330
187,BRENNAN Matthew,362,1st September 1996 ,Ireland,7.0,1.7,376,342,1421,252,24,1010,445
188,RYAN Archie,359,24th June 1996 ,Italy,0.0,1.9,362,157,259,1853,212,6,136
189,BUDZIŃSKI Marcin,359,13th September 1994 ,United States,1.0,1.82,479,193,2552,314,43,3288,562
190,WELSFORD Sam,355,26th November 1986 ,Netherlands,4.0,1.84,401,5218,6008,2074,179,7432,4093
191,WALSCHEID Max,354,16th August 2003 ,Spain,5.0,1.93,177,146,306,244,55,194,66
192,RODRÍGUEZ Cristián,349,13th June 1999 ,Great Britain,5.0,1.84,297,573,375,415,159,348,1218
193,STEINHAUSER Georg,348,14th August 1996 ,Italy,3.0,1.8,248,1238,65,28,1644,5,401
194,FOSS Tobias,347,27th April 1997 ,Colombia,3.0,1.8,287,96,697,265,8,624,566
195,BJERG Mikkel,347,6th January 1992 ,France,2.0,1.79,419,861,1031,122,296,1034,1492
196,ANIOŁKOWSKI Stanisław,346,26th August 2000 ,Italy,4.0,1.88,355,478,212,278,108,138,334
197,CAMPENAERTS Victor,344,26th August 1991 ,France,6.0,1.81,344,6670,1536,483,4564,206,2572
198,VAN ASBROECK Tom,343,13th September 1998 ,Switzerland,8.0,1.81,360,343,242,2332,174,18,381
199,MEURISSE Xandro,340,6th August 2005 ,Great Britain,8.0,,117,254,19,14,208,42,196
200,TAMINIAUX Lionel,337,16th November 2001 ,Ireland,6.0,1.72,414,213,248,6,0,303,220
101,ALBANESE Vincenzo,559,21st September 1998 ,Slovenia,6.0,1.76,4588,6552,6594,2623,227,8133,3410
102,PARET-PEINTRE Valentin,558,15th September 1994 ,Belgium,8.0,1.9,1428,7232,1171,3014,1894,2044,4313
103,CEPEDA Jefferson Alveiro,555,25th January 2000 ,Belgium,1.0,1.71,2889,3084,3994,3845,120,3874,1276
104,POOLE Max,551,10th December 1996 ,Denmark,8.0,1.75,1702,320,4836,1964,34,4240,1461
105,SCHACHMANN Maximilian,549,19th January 1995 ,Netherlands,5.0,1.84,1612,7341,1124,968,1672,1072,3268
106,ANDRESEN Tobias Lund,549,18th December 1995 ,Denmark,0.0,1.8,1467,3862,1507,1697,2762,368,2814
107,VINE Jay,545,29th October 1989 ,Slovenia,5.0,1.77,1513,1877,7854,5542,163,7904,2860
108,CHRISTEN Jan,545,24th August 1998 ,Switzerland,1.0,1.74,2041,4920,1431,334,75,2124,2224
109,HEALY Ben,542,15th November 1996 ,Netherlands,7.0,1.72,3087,5529,4616,1805,500,2497,4563
110,TARLING Joshua,536,10th November 1995 ,Belgium,6.0,1.7,3770,6879,2710,1817,3827,502,2596
111,YATES Simon,532,29th September 1994 ,Poland,9.0,1.65,1468,6423,4535,1115,956,3034,5086
112,BETTIOL Alberto,530,26th May 1999 ,"FranceHeight: 1.70 mPlace of birth: Lons-le-SaunierPoints per specialty1378Onedayraces1629GC68TT36Sprint1740Climber2022HillsXstravainstawikifbCross profile

UCI World12
PCS Ranking9
All time126


Visits:▼1350  this week",,1.7,1347,1378,1629,68,36,1740,2022
113,HINDLEY Jai,520,12th November 1996 ,Italy,0.0,1.75,631,1341,393,53,554,561,1448
114,GALL Felix,519,14th January 2001 ,France,2.0,1.78,458,75,492,1,14,605,174
115,SOLER Marc,517,2nd March 1996 ,Ecuador,1.0,1.7,517,405,585,230,0,389,214
116,PIGANZOLI Davide,515,1st March 2003 ,"Great BritainHeight: 1.85 mPlace of birth: ScunthorpePoints per specialty0Onedayraces842GC145TT6Sprint626Climber321Hillsinstastravawiki

UCI World85
PCS Ranking104


Visits:▲226  this week",,1.85,636,0,842,145,6,626,321
117,VERMEERSCH Gianni,514,9th January 1994 ,Germany,1.0,1.83,434,1407,2001,1810,172,1854,1740
118,MOHORIČ Matej,509,20th August 2002 ,Denmark,9.0,1.81,400,326,130,8,582,88,578
119,DE PLUS Laurens,504,16th November 1995 ,Australia,9.0,1.84,495,67,853,910,9,952,348
120,RUBIO Einer,503,26th June 2004 ,Switzerland,0.0,1.83,492,525,119,176,31,228,264
121,SEGAERT Alec,501,11th September 2000 ,Ireland,5.0,1.75,600,1012,494,436,40,710,405
122,LAPEIRA Paul,498,15th February 2004 ,Great Britain,8.0,1.94,460,131,161,1240,40,24,26
123,DVERSNES Fredrik,498,7th August 1992 ,Great Britain,8.0,1.72,714,1188,5325,1200,300,5900,1714
124,PENHOËT Paul,498,29th October 1993 ,Italy,9.0,1.8,853,2482,951,1000,140,978,2090
125,MOLANO Juan Sebastián,493,5th May 1996 ,Australia,0.0,1.75,600,460,3262,153,16,2980,764
126,BAUHAUS Phil,488,27th February 1998 ,Austria,6.0,1.8,557,324,1125,97,2,1888,292
127,JEGAT Jordan,488,22nd November 1993 ,Spain,8.0,1.86,500,292,2456,764,30,2903,1218
128,VERMAERKE Kevin,485,8th July 2002 ,Italy,1.0,1.74,523,179,614,92,0,390,153
129,POLITT Nils,484,19th November 1992 ,Belgium,8.0,1.73,396,1854,268,55,1002,258,789
130,KRIJNSEN Jelte,481,19th October 1994 ,Slovenia,2.0,1.86,637,2952,2331,352,571,1610,2810
131,PARET-PEINTRE Aurélien,480,4th September 1995 ,Belgium,7.0,1.89,471,258,1407,446,33,1006,566
132,WOODS Michael,477,22nd February 1998 ,Colombia,6.0,1.64,480,199,1363,61,6,1460,298
133,MOZZATO Luca,476,16th January 2003 ,Belgium,9.0,1.88,536,246,288,424,56,31,99
134,ZANA Filippo,474,25th May 2000 ,France,4.0,1.76,584,701,96,32,118,134,396
135,BERTHET Clément,474,20th March 1997 ,"NorwayPlace of birth: EgersundPoints per specialty393Onedayraces341GC114TT61Sprint96Climber202HillsinstafbstravaX

UCI World147
PCS Ranking123


Visits:▼18944  this week",,,355,393,341,114,61,96,202
136,VANSEVENANT Mauri,472,28th December 2001 ,France,4.0,1.73,433,685,257,4,767,30,421
137,TEUNISSEN Mike,467,4th November 1994 ,Colombia,2.0,1.8,301,1061,289,0,2014,86,979
138,LAMPERTI Luke,464,8th July 1994 ,Germany,1.0,1.84,502,902,266,1,3020,0,1659
139,THOMAS Geraint,459,7th June 1999 ,France,9.0,1.76,466,327,290,5,3,376,248
140,IZAGIRRE Ion,458,16th October 2000 ,United States,7.0,1.81,622,545,591,11,14,469,524
141,CHRISTEN Fabio,455,6th March 1994 ,Germany,0.0,1.92,651,2211,1020,1244,472,152,1423
142,LAURANCE Axel,452,12th May 2001 ,Netherlands,3.0,1.84,459,158,230,0,212,4,110
143,DELETTRE Alexandre,448,27th February 1996 ,France,4.0,1.84,526,845,1462,167,8,1408,608
144,TEUNS Dylan,445,12th October 1986 ,Canada,2.0,1.75,397,3257,2295,40,34,4492,1785
145,KANTER Max,444,15th February 1998 ,Italy,7.0,1.78,634,1946,141,0,1184,6,771
