Rank;Previous Rank;Diff;Rider;Rider link;Team;Points
1;1;-;POGAČAR Tadej;https://www.procyclingstats.com/rider/tadej-pogacar;UAE Team Emirates - XRG;4827
2;3;▲1;EVENEPOEL Remco;https://www.procyclingstats.com/rider/remco-evenepoel;Soudal Quick-Step;2244
3;4;▲1;HIRSCHI Marc;https://www.procyclingstats.com/rider/marc-hirschi;Tudor Pro Cycling Team;1997
4;2;▼2;PHILIPSEN Jasper;https://www.procyclingstats.com/rider/jasper-philipsen;Alpecin - Deceuninck;1990
5;6;▲1;VAN DER POEL Mathieu;https://www.procyclingstats.com/rider/mathieu-van-der-poel;Alpecin - Deceuninck;1965
6;7;▲1;GIRMAY Biniam;https://www.procyclingstats.com/rider/biniam-girmay;Intermarché - Wanty;1622
7;10;▲3;MILAN Jonathan;https://www.procyclingstats.com/rider/jonathan-milan;Lidl - Trek;1578
8;8;-;ROGLIČ Primož;https://www.procyclingstats.com/rider/primoz-roglic;Red Bull - BORA - hansgrohe;1549
9;11;▲2;JORGENSON Matteo;https://www.procyclingstats.com/rider/matteo-jorgenson;Team Visma | Lease a Bike;1482
10;14;▲4;ALMEIDA João;https://www.procyclingstats.com/rider/joao-almeida;UAE Team Emirates - XRG;1460
11;15;▲4;YATES Adam;https://www.procyclingstats.com/rider/adam-yates;UAE Team Emirates - XRG;1433
12;5;▼7;VINGEGAARD Jonas;https://www.procyclingstats.com/rider/jonas-vingegaard;Team Visma | Lease a Bike;1423
13;12;▼1;DE LIE Arnaud;https://www.procyclingstats.com/rider/arnaud-de-lie;Lotto;1354
14;13;▼1;O'CONNOR Ben;https://www.procyclingstats.com/rider/ben-o-connor;Team Jayco AlUla;1335
15;16;▲1;RODRÍGUEZ Carlos;https://www.procyclingstats.com/rider/carlos-rodriguez-cano;INEOS Grenadiers;1330
16;20;▲4;AYUSO Juan;https://www.procyclingstats.com/rider/juan-ayuso-pesquera;UAE Team Emirates - XRG;1329
17;18;▲1;PIDCOCK Thomas;https://www.procyclingstats.com/rider/thomas-pidcock;Q36.5 Pro Cycling Team;1307
18;17;▼1;MAS Enric;https://www.procyclingstats.com/rider/enric-mas;Movistar Team;1291
19;19;-;PEDERSEN Mads;https://www.procyclingstats.com/rider/mads-pedersen;Lidl - Trek;1261
20;9;▼11;MERLIER Tim;https://www.procyclingstats.com/rider/tim-merlier;Soudal Quick-Step;1235
21;25;▲4;LANDA Mikel;https://www.procyclingstats.com/rider/mikel-landa;Soudal Quick-Step;1173
22;23;▲1;VAN AERT Wout;https://www.procyclingstats.com/rider/wout-van-aert;Team Visma | Lease a Bike;1146
23;24;▲1;ONLEY Oscar;https://www.procyclingstats.com/rider/oscar-onley;Team Picnic PostNL;1134
24;30;▲6;CORT Magnus;https://www.procyclingstats.com/rider/magnus-cort-nielsen;Uno-X Mobility;1092
25;70;▲45;GANNA Filippo;https://www.procyclingstats.com/rider/filippo-ganna;INEOS Grenadiers;1088
26;32;▲6;BILBAO Pello;https://www.procyclingstats.com/rider/pello-bilbao;Bahrain - Victorious;1058
27;41;▲14;TIBERI Antonio;https://www.procyclingstats.com/rider/antonio-tiberi;Bahrain - Victorious;1036
28;31;▲3;CARAPAZ Richard;https://www.procyclingstats.com/rider/richard-carapaz;EF Education - EasyPost;1035
29;33;▲4;KOOIJ Olav;https://www.procyclingstats.com/rider/olav-kooij;Team Visma | Lease a Bike;1032
30;28;▼2;WELLENS Tim;https://www.procyclingstats.com/rider/tim-wellens;UAE Team Emirates - XRG;1018
31;26;▼5;VAN GILS Maxim;https://www.procyclingstats.com/rider/maxim-van-gils;Red Bull - BORA - hansgrohe;1009
32;27;▼5;ULISSI Diego;https://www.procyclingstats.com/rider/diego-ulissi;XDS Astana Team;986
33;53;▲20;SHEFFIELD Magnus;https://www.procyclingstats.com/rider/magnus-sheffield;INEOS Grenadiers;974
34;21;▼13;SKJELMOSE Mattias;https://www.procyclingstats.com/rider/mattias-skjelmose-jensen;Lidl - Trek;969
35;52;▲17;GEE Derek;https://www.procyclingstats.com/rider/derek-gee;Israel - Premier Tech;946
36;29;▼7;BUITRAGO Santiago;https://www.procyclingstats.com/rider/santiago-buitrago-sanchez;Bahrain - Victorious;946
37;22;▼15;MCNULTY Brandon;https://www.procyclingstats.com/rider/brandon-mcnulty;UAE Team Emirates - XRG;942
38;44;▲6;CICCONE Giulio;https://www.procyclingstats.com/rider/giulio-ciccone;Lidl - Trek;928
39;36;▼3;GRÉGOIRE Romain;https://www.procyclingstats.com/rider/romain-gregoire1;Groupama - FDJ;924
40;42;▲2;ARANBURU Alex;https://www.procyclingstats.com/rider/alex-aranburu;Cofidis;920
41;35;▼6;WÆRENSKJOLD Søren;https://www.procyclingstats.com/rider/soren-waerenskjold;Uno-X Mobility;906
42;38;▼4;SIVAKOV Pavel;https://www.procyclingstats.com/rider/pavel-sivakov;UAE Team Emirates - XRG;902
43;74;▲31;LIPOWITZ Florian;https://www.procyclingstats.com/rider/florian-lipowitz;Red Bull - BORA - hansgrohe;894
44;61;▲17;GROVES Kaden;https://www.procyclingstats.com/rider/kaden-groves;Alpecin - Deceuninck;890
45;40;▼5;GAUDU David;https://www.procyclingstats.com/rider/david-gaudu;Groupama - FDJ;886
46;43;▼3;NARVÁEZ Jhonatan;https://www.procyclingstats.com/rider/jhonatan-narvaez;UAE Team Emirates - XRG;872
47;45;▼2;ZINGLE Axel;https://www.procyclingstats.com/rider/axel-zingle;Team Visma | Lease a Bike;871
48;39;▼9;KÜNG Stefan;https://www.procyclingstats.com/rider/stefan-kung;Groupama - FDJ;870
49;37;▼12;KRISTOFF Alexander;https://www.procyclingstats.com/rider/alexander-kristoff;Uno-X Mobility;868
50;46;▼4;BARDET Romain;https://www.procyclingstats.com/rider/romain-bardet;Team Picnic PostNL;837
51;47;▼4;STRONG Corbin;https://www.procyclingstats.com/rider/corbin-strong;Israel - Premier Tech;836
52;48;▼4;JEANNIÈRE Emilien;https://www.procyclingstats.com/rider/emilien-jeanniere;Team TotalEnergies;832
53;85;▲32;STORER Michael;https://www.procyclingstats.com/rider/michael-storer;Tudor Pro Cycling Team;826
54;71;▲17;CHAMPOUSSIN Clément;https://www.procyclingstats.com/rider/clement-champoussin;XDS Astana Team;812
55;51;▼4;VACEK Mathias;https://www.procyclingstats.com/rider/mathias-vacek;Lidl - Trek;792
56;64;▲8;FRETIN Milan;https://www.procyclingstats.com/rider/milan-fretin;Cofidis;787
57;58;▲1;VAN EETVELT Lennert;https://www.procyclingstats.com/rider/lennert-van-eetvelt;Lotto;767
58;54;▼4;COSNEFROY Benoît;https://www.procyclingstats.com/rider/benoit-cosnefroy;Decathlon AG2R La Mondiale Team;763
59;50;▼9;ALAPHILIPPE Julian;https://www.procyclingstats.com/rider/julian-alaphilippe;Tudor Pro Cycling Team;760
60;34;▼26;VLASOV Aleksandr;https://www.procyclingstats.com/rider/aleksandr-vlasov;Red Bull - BORA - hansgrohe;753
61;59;▼2;MADOUAS Valentin;https://www.procyclingstats.com/rider/valentin-madouas;Groupama - FDJ;749
62;49;▼13;MATTHEWS Michael;https://www.procyclingstats.com/rider/michael-matthews;Team Jayco AlUla;748
63;60;▼3;MEEUS Jordi;https://www.procyclingstats.com/rider/jordi-meeus;Red Bull - BORA - hansgrohe;743
64;68;▲4;ADRIÀ Roger;https://www.procyclingstats.com/rider/roger-adria;Red Bull - BORA - hansgrohe;735
65;62;▼3;SKUJIŅŠ Toms;https://www.procyclingstats.com/rider/toms-skujins;Lidl - Trek;724
66;73;▲7;DEL TORO Isaac;https://www.procyclingstats.com/rider/isaac-del-toro;UAE Team Emirates - XRG;708
67;75;▲8;MARTIN Guillaume;https://www.procyclingstats.com/rider/guillaume-martin;Groupama - FDJ;707
68;78;▲10;SCHMID Mauro;https://www.procyclingstats.com/rider/mauro-schmid;Team Jayco AlUla;706
69;65;▼4;FORTUNATO Lorenzo;https://www.procyclingstats.com/rider/lorenzo-fortunato;XDS Astana Team;702
70;57;▼13;VAN DEN BERG Marijn;https://www.procyclingstats.com/rider/marijn-van-den-berg;EF Education - EasyPost;702
71;91;▲20;MARTINEZ Lenny;https://www.procyclingstats.com/rider/lenny-martinez;Bahrain - Victorious;702
72;67;▼5;POWLESS Neilson;https://www.procyclingstats.com/rider/neilson-powless;EF Education - EasyPost;698
73;63;▼10;VAUQUELIN Kévin;https://www.procyclingstats.com/rider/kevin-vauquelin;Arkéa - B&B Hotels;692
74;56;▼18;GROENEWEGEN Dylan;https://www.procyclingstats.com/rider/dylan-groenewegen;Team Jayco AlUla;676
75;69;▼6;ABRAHAMSEN Jonas;https://www.procyclingstats.com/rider/jonas-abrahamsen;Uno-X Mobility;675
76;83;▲7;TRENTIN Matteo;https://www.procyclingstats.com/rider/matteo-trentin;Tudor Pro Cycling Team;670
77;77;-;LAPORTE Christophe;https://www.procyclingstats.com/rider/christophe-laporte;Team Visma | Lease a Bike;653
78;79;▲1;NYS Thibau;https://www.procyclingstats.com/rider/thibau-nys;Lidl - Trek;647
79;87;▲8;AULAR Orluis;https://www.procyclingstats.com/rider/orluis-aular;Movistar Team;644
80;80;-;MAGNIER Paul;https://www.procyclingstats.com/rider/paul-magnier;Soudal Quick-Step;644
81;81;-;ROMO Javier;https://www.procyclingstats.com/rider/javier-romo;Movistar Team;643
82;95;▲13;ARENSMAN Thymen;https://www.procyclingstats.com/rider/thymen-arensman;INEOS Grenadiers;642
83;72;▼11;GATE Aaron;https://www.procyclingstats.com/rider/aaron-gate;XDS Astana Team;637
84;123;▲39;JOHANNESSEN Tobias Halland;https://www.procyclingstats.com/rider/tobias-halland-johannessen;Uno-X Mobility;635
85;82;▼3;SCARONI Christian;https://www.procyclingstats.com/rider/christian-scaroni;XDS Astana Team;626
86;88;▲2;BAUDIN Alex;https://www.procyclingstats.com/rider/alex-baudin;EF Education - EasyPost;617
87;90;▲3;MULUBRHAN Henok;https://www.procyclingstats.com/rider/henok-mulubrhan;XDS Astana Team;610
88;84;▼4;FISHER-BLACK Finn;https://www.procyclingstats.com/rider/finn-fisher-black;Red Bull - BORA - hansgrohe;608
89;112;▲23;CASTRILLO Pablo;https://www.procyclingstats.com/rider/pablo-castrillo-zapater;Movistar Team;604
90;89;▼1;BERCKMOES Jenno;https://www.procyclingstats.com/rider/jenno-berckmoes;Lotto;603
91;93;▲2;MORGADO António;https://www.procyclingstats.com/rider/antonio-morgado;UAE Team Emirates - XRG;592
92;97;▲5;BENNETT Sam;https://www.procyclingstats.com/rider/sam-bennett;Decathlon AG2R La Mondiale Team;588
93;100;▲7;GODON Dorian;https://www.procyclingstats.com/rider/dorian-godon;Decathlon AG2R La Mondiale Team;575
94;66;▼28;BERNAL Egan;https://www.procyclingstats.com/rider/egan-bernal;INEOS Grenadiers;575
95;76;▼19;KELDERMAN Wilco;https://www.procyclingstats.com/rider/wilco-kelderman;Team Visma | Lease a Bike;573
96;113;▲17;ZAMBANINI Edoardo;https://www.procyclingstats.com/rider/edoardo-zambanini;Bahrain - Victorious;572
97;96;▼1;WILLIAMS Stephen;https://www.procyclingstats.com/rider/stephen-williams;Israel - Premier Tech;570
98;101;▲3;MARTÍNEZ Daniel Felipe;https://www.procyclingstats.com/rider/daniel-felipe-martinez;Red Bull - BORA - hansgrohe;568
99;102;▲3;BENOOT Tiesj;https://www.procyclingstats.com/rider/tiesj-benoot;Team Visma | Lease a Bike;564
100;118;▲18;VAN WILDER Ilan;https://www.procyclingstats.com/rider/ilan-van-wilder;Soudal Quick-Step;562
101;107;▲6;ALBANESE Vincenzo;https://www.procyclingstats.com/rider/vincenzo-albanese;EF Education - EasyPost;559
102;105;▲3;PARET-PEINTRE Valentin;https://www.procyclingstats.com/rider/valentin-paret-peintre;Soudal Quick-Step;558
103;103;-;CEPEDA Jefferson Alveiro;https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez;Movistar Team;555
104;108;▲4;POOLE Max;https://www.procyclingstats.com/rider/max-poole;Team Picnic PostNL;551
105;121;▲16;SCHACHMANN Maximilian;https://www.procyclingstats.com/rider/maximilian-schachmann;Soudal Quick-Step;549
106;114;▲8;ANDRESEN Tobias Lund;https://www.procyclingstats.com/rider/tobias-lund-andresen;Team Picnic PostNL;549
107;109;▲2;VINE Jay;https://www.procyclingstats.com/rider/jay-vine;UAE Team Emirates - XRG;545
108;86;▼22;CHRISTEN Jan;https://www.procyclingstats.com/rider/jan-christen;UAE Team Emirates - XRG;545
109;117;▲8;HEALY Ben;https://www.procyclingstats.com/rider/ben-healy;EF Education - EasyPost;542
110;124;▲14;TARLING Joshua;https://www.procyclingstats.com/rider/joshua-tarling;INEOS Grenadiers;536
111;130;▲19;YATES Simon;https://www.procyclingstats.com/rider/simon-yates;Team Visma | Lease a Bike;532
112;55;▼57;BETTIOL Alberto;https://www.procyclingstats.com/rider/alberto-bettiol;XDS Astana Team;530
113;98;▼15;HINDLEY Jai;https://www.procyclingstats.com/rider/jai-hindley;Red Bull - BORA - hansgrohe;520
114;104;▼10;GALL Felix;https://www.procyclingstats.com/rider/felix-gall;Decathlon AG2R La Mondiale Team;519
115;115;-;SOLER Marc;https://www.procyclingstats.com/rider/marc-soler;UAE Team Emirates - XRG;517
116;119;▲3;PIGANZOLI Davide;https://www.procyclingstats.com/rider/davide-piganzoli;Team Polti VisitMalta;515
117;152;▲35;VERMEERSCH Gianni;https://www.procyclingstats.com/rider/gianni-vermeersch;Alpecin - Deceuninck;514
118;94;▼24;MOHORIČ Matej;https://www.procyclingstats.com/rider/matej-mohoric;Bahrain - Victorious;509
119;106;▼13;DE PLUS Laurens;https://www.procyclingstats.com/rider/laurens-de-plus;INEOS Grenadiers;504
120;143;▲23;RUBIO Einer;https://www.procyclingstats.com/rider/einer-rubio;Movistar Team;503
121;139;▲18;SEGAERT Alec;https://www.procyclingstats.com/rider/alec-segaert;Lotto;501
122;99;▼23;LAPEIRA Paul;https://www.procyclingstats.com/rider/paul-lapeira;Decathlon AG2R La Mondiale Team;498
123;149;▲26;DVERSNES Fredrik;https://www.procyclingstats.com/rider/fredrik-dversnes;Uno-X Mobility;498
124;145;▲21;PENHOËT Paul;https://www.procyclingstats.com/rider/paul-penhoet;Groupama - FDJ;498
125;206;▲81;MOLANO Juan Sebastián;https://www.procyclingstats.com/rider/juan-sebastian-molano;UAE Team Emirates - XRG;493
126;127;▲1;BAUHAUS Phil;https://www.procyclingstats.com/rider/phil-bauhaus;Bahrain - Victorious;488
127;144;▲17;JEGAT Jordan;https://www.procyclingstats.com/rider/jordan-jegat;Team TotalEnergies;488
128;111;▼17;VERMAERKE Kevin;https://www.procyclingstats.com/rider/kevin-vermaerke;Team Picnic PostNL;485
129;126;▼3;POLITT Nils;https://www.procyclingstats.com/rider/nils-politt;UAE Team Emirates - XRG;484
130;133;▲3;KRIJNSEN Jelte;https://www.procyclingstats.com/rider/jelte-krijnsen;Team Jayco AlUla;481
